"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"169","3","3-Non optimal","11284.06","1474.43251769745","23975.685","10","180","Layout 4x4-10-0.8M","OVERHANG -2","60",
"170","3","3-Non optimal","11321.33","1446.21867202337","24075.615","50","90","Layout 5x6-10-0.8M","OVERHANG -2","60",
"171","3","3-Non optimal","11523.03","1487.69333607423","24612.879","35","180","Layout 3x6-10-0.8M","OVERHANG -1","70",
"172","3","3-Non optimal","11296.65","1478.75362738776","23999.364","40","180","Layout 5x6-10-0.6M","OVERHANG -4 - SDEFINS","50",
"173","3","3-Non optimal","11310.02","1447.27899574853","24051.448","35","90","Layout 4x6-10-0.6M","OVERHANG -4 - SDEFINS","80",
"174","3","3-Non optimal","11178.32","1452.71890455565","23678.137","40","90","Layout 6x6-10-0.8M","OVERHANG -4 - SDEFINS","60",
"175","3","3-Non optimal","11417.94","1456.19079721831","24364.012","50","0","Layout 5x5-10-1M","OVERHANG -2","80",
"176","3","3-Non optimal","11353.18","1478.42373479285","24163.197","35","180","Layout 3x5-10-0.6M","OVERHANG -4 - SDEFINS","80",
"177","3","3-Non optimal","11312.89","1438.82740997467","24089.380","50","270","Layout 6x6-10-0.6M","OVERHANG -4 - SDEFINS","60",
"178","3","3-Non optimal","11384.63","1482.00523566061","24233.540","35","180","Layout 4x5-10-0.8M","OVERHANG -3 SIDEFINS","50",
"179","3","3-Non optimal","11310.63","1439.23760318251","24081.326","45","270","Layout 6x6-10-1M","OVERHANG -4 - SDEFINS","60",
"180","3","3-Non optimal","11371.05","1442.43539648372","24249.290","20","270","Layout 5x3-10-0.8M","OVERHANG -2","60",
"181","3","3-Non optimal","11373.99","1441.14238888115","24262.267","10","270","Layout 5x5-10-0.8M","OVERHANG -2","80",
"182","3","3-Non optimal","11457.51","1462.4755077371","24463.164","15","0","Layout 5x6-10-0.8M","OVERHANG -4 - SDEFINS","70",
"183","3","3-Non optimal","11218.08","1450.13425769219","23788.906","25","90","Layout 6x3-10-0.6M","OVERHANG -2","70",
"184","3","3-Non optimal","11578.4","1467.01960511476","24777.314","25","270","Layout 6x6-10-0.8M","No shading","80",
"185","3","3-Non optimal","11355.19","1452.36121155278","24169.373","40","90","Layout 4x3-10-0.8M","OVERHANG -3 SIDEFINS","80",
"186","3","3-Non optimal","11508.85","1486.88647149886","24572.824","40","180","Layout 4x6-10-0.1M","OVERHANG -1","80",
"187","3","3-Non optimal","11257.42","1450.05807287594","23904.299","15","90","Layout 5x3-10-0.8M","OVERHANG -2","70",
"188","3","3-Non optimal","11290.04","1445.46453706774","23985.770","50","90","Layout 6x5-10-0.8M","OVERHANG -2","80",
"189","3","3-Non optimal","11369.87","1450.33479637636","24208.385","35","90","Layout 3x6-10-0.6M","OVERHANG -2","50",
"190","3","3-Non optimal","11479.07","1463.92881698399","24521.903","50","0","Layout 4x5-10-1M","OVERHANG -4 - SDEFINS","70",
"191","4","3-Non optimal","11323.91","1451.20557101995","24085.696","35","90","Layout 4x3-10-0.6M","OVERHANG -2","60",
"192","4","3-Non optimal","11455.34","1450.65578259685","24471.152","40","270","Layout 4x3-10-1M","OVERHANG -3 SIDEFINS","60",
"193","4","3-Non optimal","11221.46","1473.13888230901","23798.175","35","180","Layout 6x6-10-0.8M","OVERHANG -2","50",
"194","4","3-Non optimal","11324.76","1450.74124589575","24090.449","35","90","Layout 4x3-10-0.6M","OVERHANG -2","70",
"195","4","3-Non optimal","11501.3","1461.8297044894","24588.990","50","0","Layout 3x3-10-0.8M","OVERHANG -3 SIDEFINS","80",
"196","4","3-Non optimal","11289.78","1450.64572613302","23994.122","50","90","Layout 4x4-10-0.6M","OVERHANG -2","70",
"197","4","3-Non optimal","11287.8","1450.10199991747","23990.009","25","90","Layout 4x4-10-0.8M","OVERHANG -2","80",
"198","4","3-Non optimal","11423.08","1462.40606309651","24358.767","45","0","Layout 6x5-10-0.8M","OVERHANG -4 - SDEFINS","50",
"199","4","3-Non optimal","11388.45","1445.68527949411","24293.976","35","270","Layout 4x6-10-0.8M","OVERHANG -4 - SDEFINS","60",
"200","4","3-Non optimal","11662.52","1478.82616594821","25007.968","20","0","Layout 4x5-10-0.6M","OVERHANG -1","50",
"201","4","3-Non optimal","11683.02","1505.16492679558","25036.516","35","180","Layout 3x5-10-1M","No shading","80",
"202","4","3-Non optimal","11337.33","1438.78011127247","24161.461","20","270","Layout 5x5-10-1M","OVERHANG -4 - SDEFINS","70",
